Penn_ID_prsn,Emp_Status,Emp_ Status_Date,Full_Part_Time,Exempt_Status,Emp_Age,Emp_Gender,Primary_Position_Name,Primary_Job_Profile_ID,Primary_Job_Profile_Name,Salary_Code,Personnel_Class,Visa_Type,NSO_completion_percent,Supervisory_status,Assignment_Date,Completion_Date,NSO_Complete_Code,number_of_weeks,Manager_Penn_Id,SUP_Employee_Type,Supervisor_Domains,SUP_Job_Code_Description,SUP_Learning
62188105,A,6/1/2019,F,E,26,F,Research Specialist B,320020,Research Specialist B,1,AP,NA,100,NA,6/18/2019,6/27/2019,1,1.29,17918349,UP.STAF,DUAL,MANAGER RESEARCH PROJECT,2
79213538,A,7/8/2019,F,E,22,M,Research Specialist A,320015,Research Specialist A,1,AP,NA,100,NA,7/11/2019,7/24/2019,1,1.86,57417302,UP.FAC,UNIV,ASSISTANT PROFESSOR,0
29868997,A,7/10/2019,F,NA,31,M,Staff Recruiter,365649,Staff Recruiter,NA,AP,NA,0,NA,7/13/2019,1/0/1900,0,-6237,58327328,UP.STAF,UNIV,MANAGER E,1
57783676,A,9/17/2018,F,E,29,F,Clinical Research Coordinator C,320092,Clinical Research Coordinator C,2,AP,NA,100,NA,11/14/2018,3/12/2019,1,16.86,10280865,UP.STAF,DUAL,DIRECTOR D,0
33516887,A,9/30/2019,F,E,25,M,Resource Technologist B,320103,Resource Technologist B,2,AP,NA,100,NA,10/1/2019,10/4/2019,1,0.43,76813419,UP.STAF,UNIV,ASSOCIATE DIRECTOR E,2
77723870,A,10/2/2019,F,E,27,M,Research Specialist B,320020,Research Specialist B,1,AP,NA,100,NA,10/6/2019,10/8/2019,1,0.29,22767810,UP.FAC,DUAL,PROFESSOR,0
45174876,A,8/5/2019,F,E,22,F,Research Specialist A,320015,Research Specialist A,1,AP,NA,100,NA,8/14/2019,8/14/2019,1,0,50429142,UP.FAC,UNIV,"ASSISTANT PROFESSOR, CLIN",0
29897026,A,10/1/2018,F,E,30,F,Accountant C,355002,Accountant C,2,AP,NA,0,NA,11/14/2018,1/0/1900,0,-6202.57,25689431,#N/A,#N/A,#N/A,2
28086067,A,7/1/2019,F,E,22,F,Research Specialist A,320015,Research Specialist A,1,AP,NA,0,NA,7/18/2019,1/0/1900,0,-6237.71,10024232,UP.FAC,UNIV,RESEARCH ASSISTANT PROFES,0
10022901,A,1/14/2019,F,N,57,F,"Coordinator, Program",525461,"Coordinator, Program",2,SS,NA,100,NA,1/15/2019,1/15/2019,1,0,60676737,UP.STAF,UNIV,"MANAGER, ADMINISTRATION A",1
