Penn_ID_prsn,Emp_Status,Emp_ Status_Date,Full_Part_Time,Exempt_Status,Emp_Age,Emp_Gender,Primary_Position_Name,Primary_Job_Profile_ID,Primary_Job_Profile_Name,Salary_Code,Personnel_Class,Visa_Type,NSO_completion_percent,Supervisory_status,Assignment_Date,Access_Date,Completion_Date,NSO_Complete_Code,Days_to_complete,Days_to_access,Manager_Penn_Id,SUP_Employee_Type,Supervisor_Domains,SUP_Job_Code_Description,SUP_Learning
10116180,A,43542,F,E,54,F,Director C,120392,Director C,4,AP,NA,100,NA,3/19/2019,3/22/2019,4/5/2019,1,17,3,25768398,UP.STAF,UNIV,DIRECTOR E,0
19550995,A,43647,F,E,33,F,Penn Medicine Clinician,110193,Penn Medicine Clinician,4,AP,NA,100,NA,4/26/2019,5/15/2019,6/2/2019,1,37,19,40296694,UP.FAC,DUAL,PROFESSOR,0
22800137,A,43361,F,E,35,F,Director C,120392,Director C,4,AP,NA,0,UNIV,11/14/2018,NA,1/0/1900,0,NA,NA,10161489,UP.STAF,UNIV,DIRECTOR F,0
42601411,A,43445,F,E,58,F,Associate Director E,120409,Associate Director E,4,AP,NA,100,NA,6/12/2019,6/14/2019,6/28/2019,1,16,2,87843079,UP.STAF,UNIV,DIRECTOR D,0
85474968,A,43654,F,E,47,F,Director D,120390,Director D,4,AP,NA,100,UNIV,7/13/2019,7/15/2019,8/1/2019,1,19,2,40104293,UP.STAF,UNIV,DIRECTOR D,0
10161489,A,43402,F,E,51,F,Director F,120322,Director F,4,AP,NA,0,UNIV,11/14/2018,NA,1/0/1900,0,NA,NA,10037199,UP.FAC,DUAL,PROFESSOR,1
25718905,A,40861,F,E,49,F,"Director, Administrative Affairs",110186,"Director, Administrative Affairs",4,AP,NA,0,UNIV,6/4/2019,NA,1/0/1900,0,NA,NA,10063756,UP.STAF,UNIV,EXECUTIVE DIRECTOR C,0
45809272,A,43732,F,E,33,F,Associate Director E,120409,Associate Director E,4,AP,NA,46.15,NA,9/28/2019,10/1/2019,1/0/1900,0,NA,3,37923847,UP.STAF,UNIV,DIRECTOR D,0
73645715,A,43374,F,E,45,M,Medical Physicist C,399021,Medical Physicist C,4,AP,NA,0,NA,11/14/2018,NA,1/0/1900,0,NA,NA,10199260,UP.STAF,UNIV,ASSISTANT CHIEF OF MEDICA,1
56354254,A,43724,F,E,43,F,Associate Director E,120409,Associate Director E,4,AP,NA,0,DUAL,9/17/2019,NA,1/0/1900,0,NA,NA,10090966,UP.FAC,DUAL,"PROFESSOR, CLINICIAN-EDUC",0
